strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi20_cd6_sl3_tp0,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp15,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp20,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp10,1.8077,-38.0973,3,33.33,1.5834,2.1743,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp10,1.8077,-38.0973,3,33.33,1.5834,2.1743,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp10,1.8077,-38.0973,3,33.33,1.5834,2.1743,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp0,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp15,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp20,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp0,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp15,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp20,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp0,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp15,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp20,1.7557,-38.0973,3,33.33,1.7322,2.099,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp10,1.6537,-38.0973,3,33.33,1.7322,1.987,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp10,1.6537,-38.0973,3,33.33,1.7322,1.987,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp10,1.6537,-38.0973,3,33.33,1.7322,1.987,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl8_tp0,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl8_tp15,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl8_tp20,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl8_tp0,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl8_tp15,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl8_tp20,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl8_tp0,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl8_tp15,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl8_tp20,1.5564,-38.0973,3,66.67,1.2255,1.8278,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl8_tp10,1.4841,-38.0973,3,66.67,1.2255,1.7478,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl8_tp10,1.4841,-38.0973,3,66.67,1.2255,1.7478,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl8_tp10,1.4841,-38.0973,3,66.67,1.2255,1.7478,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp0,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp15,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp20,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp0,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp15,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp20,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp0,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp15,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp20,1.143,-38.0973,3,33.33,1.5834,1.7107,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp10,1.071,-38.0973,3,33.33,1.5834,1.6095,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp10,1.071,-38.0973,3,33.33,1.5834,1.6095,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp10,1.071,-38.0973,3,33.33,1.5834,1.6095,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
